MonumentID,Monument_Reference,MonumentType,Mention_Legio_VII,Inscription,Translation,Source_of_Translation,"Tončinić_2011_Style_Type",Lower_Field_Decoration,Portrait,Frieze,Creation_Date,DateNote,Current_Location,Roman_Province,Ancient_Site,Specific_Provenience,Modern_Find_Site,Modern_Provenience,General_Location_Note,Unique_Monument_Provenience_Note,LAT,LONG,Pleiades,Trismegistos,MonumentNote,DBInclusionReason,Media
65,"ILJug 3, 2090",altar,yes,"M(arcus) Titius M(arci) f(ilius) S[er]/gia domo Isinda / eques leg(ionis) VII anno[r(um)] / XXXV stipend(iorum) X[---] / ex testament(o) fi[eri] / iussit arbitr[atu] / L(uci) Gelli M(arci) f(ilii) Serg[ia]","Marcus Titius, son of Marcus, of the Sergia tribe, from the city of Isinda, a cavalryman of the 7th legion, who lived for 25 years and served for 10(?)[-]. Done in accordance with his will by the judgement of Lucius Gellus, son of Marcus, of the Sergia tribe.",Coopey,altar,"quad-panelled door",,,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 4407",Dalmatia,Salona,"East Necropolis",Solin,,Gradina,"likely originally from FindSpotID 9, East Necropolis (Salona). Tončinić 2011, 86",43.537314,16.491401,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"monument is unique as it is the only altar with the quad-panelled door motif",,http://lupa.at/21477/photos/1
66,"CIL 03, 08760",stela,yes,"L(ucio) Trebonio Valenti / mil(iti) leg(ionis) VII C(laudiae) P(iae) F(idelis) et L(ucio) Tre/bonio Constanti f(ilio) et / Treboniae Tertullae / sorori L(ucius) Trebonius / Successus lib(ertus) patronis / suis bene merentib(us) v(ivus) f(ecit) / sibi et suis libert(is) lib(ertabus)q(ue) / in f(ronte) p(edes) XX in ag(ro) p(edes) XII","To Lucius Trebonius Valentus, soldier of the 7th legion Claudia pia fidelis, and Lucius Trebonius Constantus, his son, and Trebonia Tertulla, his wife. The freedman Lucius Trebonius Successus placed this during his lifetime for his worthy patrons and himself and his freedmen and freedwomen, in a length of 20 feet and a width of 12.","Coopey, edit of Tončinić 2011",,undecorated,"no portrait","no frieze","42 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 295",Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,http://lupa.at/21478/photos/1
67,"ILJug 2, 0670",stela,yes,"P[---]a / at[---] fa/to rapta h(ic) s(ita) e(st) / C(aius) Valerius C(ai) f(ilius) Den/to veter(anus) leg(ionis) VII lib(ertae) / suae posuit","Here lies Pr[-]a at[-], by fate ensnared. Placed to his freedwoman by Gaius Valerius, son of Gaius, from the city of Dentum, a veteran of the 7th legion.","Coopey, edit of Tončinić 2011",,undecorated,bust,"no frieze","7 to 42",,"Muzej u Humcu (Franjevački samostan u Humcu)/Museum of Humac (Franciscan monastery of Humac",Dalmatia,"Pagus Scunasticus",,Humac,"built into modern structure",,"found in a wall",43.182217,17.528855,,https://www.trismegistos.org/place/43363,fragmentary,,http://lupa.at/21479/photos/1
68,"AE 1991, 1290",stela,yes,"Q(uintus) Valerius / Q(uinti) f(ilius) Corn(elia) / Edessa mil(es) / leg(ionis) VII ann(orum) / XXXV stip(endiorum) XII / t(estamento) f(ieri) i(ussit) L(ucius) Valerius / h(eres) p(osuit) et Valeria / Quinta l(iberta) h(ic) s(itus) e(st)","Here lies Quintus Valerius, son of Quintus, of the Cornelia tribe, from the city of Edessa, a soldier of the 7th legion, who lived for 35 years and served for 12, along with the freedwoman Valeria Quinta. Placed in accordance with his will by his heir Lucius vaerlius.",Coopey,Rc,undecorated,"no portrait","no frieze","7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. AMS-40499",Dalmatia,Salona,"East Necropolis",Solin,,"near Porta Andetria",,43.541733,16.491405,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,http://lupa.at/21480/photos/1
69,"AE 2003, 1330",stela,yes,"Q(uintus) Valerius / Q(uinti) f(ilius) Qui(rina) dom(o) / Icon(io) vet(eranus) leg(ionis) / VII an(norum) LV stip(endiorum) / XXVIII h(ic) s(itus) e(st) / Q(uintus) Portorius et Q(uintus) Va/lerius Anteros posuer(unt)","Here lies Quintus Valerius, son of Quintus, of the Quirina tribe, from the city of Iconium, a veteran of the 7th legion who lived for 55 years and served for 38. Quintus Portorius and Quintus Valerius Anteros erected this monument.",Coopey,A1a,"quad-panelled door, knockers and floral","no portrait",military,"7 to 42",,"Muzej u Humcu (Franjevački samostan u Humcu)/Museum of Humac (Franciscan monastery of Humac",Dalmatia,"Pagus Scunasticus",,Vuna-Hardomilje,,,,43.159097,17.544753,,https://www.trismegistos.org/place/43363,"EDCS says dated between 21-30 CE, unsure of rationale for this",,http://lupa.at/21481/photos/1
70,"CIL 03, 02717","funerary inscription",yes,"L(ucius) Valerius L(uci) f(ilius) Volt(inia) / domo Philippis / mil(es) leg(ionis) VII ann(orum) XXXV / stip(endiorum) XV h(ic) s(itus) e(st) / t(estamento) f(ieri) i(ussit)","Here lies Lucius Vaerius, son of Lucius, of the Voltinia tribe, from the city of Phillipi, a soldier of the 7th legion who lived for 35 years and served for 15. Done in accordance with his will.",Coopey,,,,,"7 to 42",,lost,Dalmatia,Tilurium,,Gardun,,,,43.612006,16.714766,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,
71,"CIL 03, 09761","funerary inscription",yes,"M(arcus) Varenus / M(arci) f(ilius) Vol(tinia) Valens ve/ter(anus) leg(ionis) VII C(laudiae) P(iae) F(idelis) t(estamento) f(ieri) i(ussit) / arbitratu M(arci) Vare/ni Secundi liberti idem/que heredis","Marcus Varenus Valens, son of Marcus, of the Voltinia tribe, a veteran of the 7th legion Claudia pia fidelis. Done in accordance with his will, by the judgement of Marcus Varenus Secundus, his freedman and heir.","Coopey, edit of Tončinić 2011",,,,,"42 to 70",,lost,Dalmatia,Aequum,,Hrvace,,,,43.755188,16.621101,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893,,,
72,"ILJug 3, 1921",stela,yes,"T(itus) Varius T(iti) f(ilius) / Vel(ina) domo / Pessinunte / vet(eranus) leg(ionis) VII / an(norum) L sti(pendiorum) XXIX / h(ic) s(itus) e(st) her(es) pos(uit)","Here lies Titus Varius, son of Titus, of the Velina tribe, from the city of Pessinus, a veteran of the 7th legion who lived for 50 years and served for 29. His heir erected this.",Coopey,A1a,"quad-panelled door, lions","no portrait",military,"7 to 42",,"Zemaljski muzej Bosne i Hercegovine/The National Museum of Bosnia and Herzegovina",Dalmatia,"Pagus Scunasticus",,Smokovice-Hardomilje,"secondary use","right bank of Trebižat river","found near MonumentID 40, 41",43.159097,17.544753,,https://www.trismegistos.org/place/43363,"the quad-panelled door is visible under the inscription but is cut off so only the top of the first two-panels are visible, with possible remains of lions heads inside them",,http://lupa.at/21482/photos/1
73,"CIL 03, 08764",altar,yes,"C(aius) Vatinius / Sex(ti) f(ilius) Capito / vet(eranus) leg(ionis) VII / C(laudiae) P(iae) F(idelis) dom(o) Arreti(o) / v(ivus) f(ecit) sibi et / Vatiniae Feli/culae libert(ae)","Gaius Vatinius Capito, son of Sextus, a veteran of the 7th legion Claudia pia fidelis, from the city of Arretium, during his life erected this to himself and Vatiana Felicula, his freedwoman.",Coopey,altar,,,,"42 to 70",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. 324",Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,http://lupa.at/21483/photos/1
74,"CIL 03, 09712",stela,yes,"L(ucius) Vegnonius / L(uci) f(ilius) vet(eranus) leg(ionis) V[II] / [d]om(o) Florent[ia] / [Tr]opaena F[a]/[br]icia se vi[va] / [si]bi et vir[o] / <e=f>(ecit) / hic s(itus) est","Here lies Lucius Vegonius, son of Lucius, a veteran of the 7th legion from the city of Florentia. Placed during her lifetime for herself and her husband by Florentia Tropaena Fabricia","Coopey, edit of Tončinić 2011",Rc,undecorated,"no portrait","no frieze","7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 1073",Dalmatia,Siculi,,"Bijaći",,"near Tragurium/Trogir",,43.555434,16.298595,https://pleiades.stoa.org/places/197511,https://www.trismegistos.org/place/29385,"legio number is cut out, but VII is likely as a V is visible, and there is no space for a title in the lower line. Also, other monuments of legio VII were found nearby",,http://lupa.at/21484/photos/1
75,"CIL 03, 02678",altar,yes,"[Dis Manibus] / sa[crum] / C(aius) Vibi[us) C(ai) f(ilius) Pompt(ina)] / Pedes [dom(o) Arret(io)] / >∙(centurio) leg(ionis) VI[I C(laudiae) P(iae) F(idelis) vivos fec(it)] / sibi et I[uliae C(ai) f(iliae) Pollae] / uxori","To the Manes, Gaius Vibius Pudes, son of Gaius, of the Pomptina tribe, from the city of Arretium, a centurion of the 7th legion Claudia pia fidelis, erected this during his lifetime to himself and his wife Julia Polla, daughter of Gaius.",Coopey,altar,,,,"42 to 59",,"Muzej grada Trogira/Trogir City Museum, Inv. No. 681",Dalmatia,Tragurium,,Trogir,"built into modern structure",,"found in church of st. Stephen",43.517639,16.25063,https://pleiades.stoa.org/places/197555,https://www.trismegistos.org/place/29369,"the recorded inscription by Tončinić 2011 indicates that the inscription was cut off at Legio VI[I---, however, he agrees with the reconstruction of VI[I C(laudiae) p(iae) f(idelis)]. It seems that Tončinić is not basing this off of the remaining monument (a fragment), instead the CIL record which seems to have had more of the inscription as extant when recorded, see HD058437, so this is why he accepts the reconstruction. Because the line 'cpf' was visible when it was recorded in the CIL as a piece of Spolia from Trogir",,http://lupa.at/21486/photos/1
76,"CIL 03, 09741",stela,yes,"M(arcus) Vibius M(arci) f(ilius) / Aem(ilia) Durra(chio) / mil(es) leg(ionis) VII / ann(orum) XXX stip(endiorum) VII / h(ic) s(itus) e(st) / [---]lius h(eres) p(osuit)","Here lies Marcus Vibius, son of Marcus, of the Aemilia tribe, from the city of Dyrrachium, a soldier of the 7th legion who lived for 30 years and served for 7. His heir [-]lius erected this.",Coopey,Rc,undecorated,"no portrait",floral,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 305",Dalmatia,Tilurium,,"Vojnić",,,,43.615035,16.700356,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,http://lupa.at/21487/photos/1
77,"ILJug 3, 2093",altar,yes,"] / signifer / leg(ionis) VII C(laudiae) P(iae) F(idelis) / C(aius) Clodius Felix / lib(ertus) / IIIIIIvir Aug(ustalis)","] a standard bearer of the 7th legion Claudia pia fidelis. Freedman Gaius Clodius Felix, sevir Augustalis.",Coopey,altar,,,,"42 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 4576",Dalmatia,Salona,"Porta Caesarea-Five bridges",Solin,,"Pet mostova","Tončinić 2011, 101: unsure if it was originally from the East Necropolis, could also have been from the southeastern Necropolis",43.538339,16.483576,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"Bulić (BD-VAHD) provides an illustration of the inscription",,
78,"ILJug 3, 2600",stela,yes,"] / vet(erano) leg(ionis) VII C(laudiae) P(iae) F(idelis) / Neria Pieris / coniugi suo / et sibi","] a veteran of the 7th legion. To his spouse Neria Pieris and himself.",Coopey,Rc,undecorated,,,"42 to 70",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 5063",Dalmatia,Salona,"North Necropolis","Kapljuč","re-used in Christian Cemetery",,,43.53937,16.47679,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"Tončinić 2011 translates the second line as: 'Neria Pieris to his spouse and himself'",,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Salone-01_00004.jpg;$Legio-VII_00070.jpg
79,"CIL 03, 09742","funerary inscription",yes,"] / C[--- P]ol(lia) Aese / mil(es) leg(ionis) VII / ann(orum) XXX / stip(endiorum) VII h(ic) s(itus) e(st)","] Here lies G[aius?], of the Pollia tribe, from the city of Aesis, a soldier of the 7th legion who lived for 30 years and served for 7.","Coopey, edit of Tončinić 2011",,,,,"7 to 42",,lost,Dalmatia,Tilurium,,Trilj,"built into modern structure",,"found in wall of house of Šimun Latinac",43.618756,16.723601,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,
80,"CIL 03, 02071","funerary inscription",yes,"] / [Pompt]ina(?) A[rr]etio / [---] mil(es) le[g(ionis)] VII / ann{i}or(um) [---] / [s]tipe[n]dior(um) IX / h(ic) s(itus)","] Here lies [-] of the Pomptina tribe, from the city of Arretium [-] a soldier of thr 7th legion who lived for [-] years and served for 9.","Coopey, edit of Tončinić 2011",,,,,"7 to 42",,lost,Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,
81,"AE 2000, 1176",stela,yes,"[---][-Ca?]elius Ma[---] / [---]p domo R[---] / [--- ve]t(eranus) leg(ionis) VII / [--- st]ip(endiorum) XXVIIII / [an]n(orum) LXII fili[o] / [eius e]t patrono v(otum) / [p]osuit [et] matri","A?]elius Ma[-]p, from the city of R[-], a veteran of the 7th legion who served for 37(?) years and lived for 62. His son and patron and mother erected this as a vow.","Coopey, edit of Tončinić 2011",Rc,undecorated,,,"7 to 70",,"Muzej u Humcu (Franjevački samostan u Humcu)/Museum of Humac (Franciscan monastery of Humac",Dalmatia,"Pagus Scunasticus",,Grebine-Vitaljina,"re-used in Medieval Cemetery",,"secondary use in a Medieval cemetery, specifically under a beneath a large tombstone or stećak. Tončinić 2011",43.182298,17.5285698,,https://www.trismegistos.org/place/43363,"damaged inscription with the top half missing and the first and last letters illegible. No other monument from Bigests-Ljubuški has the cpf title, however, the space where the title may have been on this stelae is obscured, so one can not completely disregard the possibility (hence the date), Tončinić 2011 stresses this point",,http://lupa.at/21490/photos/1
82,"CIL 03, 08732","funerary inscription",yes,"Au]reli / [--- le]g(ionis) VII // C(laudiae) P(iae) F(idelis) / [--- st]ip(endiorum) XXX / [---] f(ilia) Ioventia / [","] Aurelius [-] of the 7th legion Claudia pia fidelis who [-] served for  30 years [- erected by?] his daughter Loventia {","Coopey, edit of Tončinić 2011",,,,,"42 to 70",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 964",Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"probably veteran based off the years of service. Monument is fragmentary",,http://lupa.at/21491/photos/1
83,"CIL 03, 09864a","boundary inscription",yes,"L(ucius) Arruntius / Cami[ll]us Scri/b[o]nia[n]us le[g(atus)] pro / pr(aetore) C(ai) [C]ae[s]aris Aug(usti) / Germanici iudicem / dedit M(anium) Coelium ∙>(centurionem) / leg(ionis) VII inter Sapuates / e[t La]matinos ut fines / [reg]eret et terminus po[n(eret)]","Lucius Arruntius Camillus Scribonianus, propraetorial legate of Gaius Augustus Germanicus, appointed Manius Coelius, a centurion of the 7th legion, as judge, to draw the boundary and place the boundary stones between the Sapuates [-]matini.","Tončinić 2011",,,,,"40 to 41",,lost,Dalmatia,,,Vaganj-Jajce,,,,44.15513,17.17608,,https://www.trismegistos.org/place/36267,"cast of the monument is now held in National museum in Sarajevo under #111, illustration was made by Patsch 1915, fig. 50",,http://lupa.at/21529/photos/1
84,"CIL 03, 06826",stela,yes,"T(itus) Cissonius / Q(uinti) f(ilius) Serg(ia) / veter(anus) l(egionis) VII dum vixi / bibi libenter bibite vos / qui vivitis / P(ublius) Cissonius Q(uinti) f(ilius) Ser(gia) frater / fecit","Titus Cissonius, son of Quintus, of the Sergia tribe, a veteran of the 7th legion. While alive I drank with enthusiasm. You who are alive, drink! His brother, Publius Cissonius, son of Quintus, of the Sergia tribe, did this.",Coopey,,,,,"-30 to 7","hard to provide an end date as he is a veteran so could have returned to the province after leaving",,Galatia,"Antiochia Pisidiae",,"Yalvaç",,,,38.305175,31.1894355,https://pleiades.stoa.org/places/609307,https://www.trismegistos.org/place/204,,"referenced in the database in relation to the argument for a Galatian stay prior to Legio VIIs arrival in Dalmatia in 6-9 CE. See related MRes thesis Ch 3 (Coopey 2020)",http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$ZPE_44_98.jpg
85,"CIL 03, 06827",stela,yes,"L(ucius) Coelius / L(uci) f(ilius) Ani(ensi) mil(es) / leg(ionis) VII ex / test(amento) Faust(us) l(ibertus)","Lucius Coelius, son of Lucius, of the Aniensis tribe, a soldier of the 7th legion. Done in accordance with his will by his freedman Faustus.",Coopey,,,,,"-30 to 7",,,Galatia,"Antiochia Pisidiae",,"Yalvaç",,,,38.305175,31.1894355,https://pleiades.stoa.org/places/609307,https://www.trismegistos.org/place/204,,"referenced in the database in relation to the argument for a Galatian stay prior to Legio VIIs arrival in Dalmatia in 6-9 CE. See related MRes thesis Ch 3 (Coopey 2020)",
86,"Other Ref Bean 1959, 93",stela,yes,"C(aius) Iulius C(ai) f(ilius) Papiria natus Cormasa missicius lecinis VII eques mono mentum fηcit sibi et Iulio Iucundo liberto","Gaius Julius, son of Gaius, of the Papiria tribe, born in Cormasa, a discharged 7th legion cavalryman, set up this monument for himself and his freedman Julius Iucundus",Coopey,,undecorated,rider,"no frieze","-30 to 7","hard to provide an end date as he is a veteran so could have returned to the province after leaving",,Galatia,Cormasa,,"Gâvur Ören",,"near Antiochia Pisidiae",,37.5053445,30.1194035,https://pleiades.stoa.org/places/638936,https://www.trismegistos.org/place/16132,,"referenced in the database in relation to the argument for a Galatian stay prior to Legio VIIs arrival in Dalmatia in 6-9 CE. See related MRes thesis Ch 3 (Coopey 2020)",
87,"Other Ref IGRRP 3, 1476",stela,yes,"P(ublius) Mestrius P(ublii) f(ilius) Maecianus, veteranus [leg(ionis) Septumae? --], M(arco) Lollio | M(arci) f(ilio), veterano leg(ionis) Septumae, amico [bene mereti?] posuit.|","Publius Mestrius Maecianus, son of Publius, a veteran [of the 7th leigon?], for Marcus Lollius, son of Marcus, veteran of the 7th legion, his friend [-], erected this.",Coopey,,,,,"-30 to 7",,,Galatia,Iconium,,Konya,,"near Antiochia Pisidiae",,37.872202,32.492331,https://pleiades.stoa.org/places/648647,https://www.trismegistos.org/place/2919,,"referenced in the database in relation to the argument for a Galatian stay prior to Legio VIIs arrival in Dalmatia in 6-9 CE. See related MRes thesis: Ch 3 Coopey 2020",
88,"Other Ref Matijević 2017: fig. 1",stela,yes,"C(aius) Auliu[s] C(ai) f(ilius) / Ani(ensis) Secundus / domo Cremona / vet(eranus) leg(ionis) VII C(laudiae) p(iae) f(idelis) / h(ic) s(itus) e(st) Arria / Agat(h)emeris co(n)iugi /caris(s)imo ben[e] / merenti posu[it et(?)] / Q(uinto) Arri(o) Prisc[o(?) p(atri) vel fr(atri) vel p(atrono)] / se viva et / sibi posuit","Here lies Gaius Aulius Secundus, son of Gaius, of the Aniensis tribe, from the city of Cremona, a veteran of the 7th legion Claudia pia fidelis. Arria Agathemeris made this for herself and her well-deserving husband, [and(?)] Quintus Arrius Priscus (?) [father or brother or patron]",Coopey,Rc,,"no portrait","no frieze","42 to 70",,"Secondary use, Solin, secondary situ (in multiple pieces) inside a modern house",Dalmatia,Siculi,,"Bijaći",,"near Tragurium/Trogir","found in-situ",43.555434,16.298595,https://pleiades.stoa.org/places/197511,https://www.trismegistos.org/place/29385,"damaged during excvation, but is thought to have originally been in situ",,
89,"Tončinić 076",stela,maybe,"mil(es) leg(ionis) V[II ---] an(n)or(um) XXIV stip(endorium) V h(ic) e(st) frater pos(u)it","Here lies [-] a soldier of the 7th(?) legion who lived for 24 years and served for 5. His brother placed this.",Coopey,,,,,"7 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. AMS 71290",Dalmatia,,,,,,,,,https://pleiades.stoa.org/places/981522,https://www.trismegistos.org/place/11624,"not published until 2013, very fragmentary, split in half. Room for cpf title, but no indication of whether or not it had one. Tončinić 2011 dates it to beyond 42 CE but gives no evidence, and suggests it is a Legio VII member, but it may also be Legio V or VIII, for find-site is unknown",,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00076.jpg
90,"CIL 03, 09711","funerary inscription",yes,"Rutilia [---] / v(iva) f(ecit) sibi et Ar[---] / Tusco patri mil(iti) / leg(ionis) VII et A[---] / Primioni f[ilio] / et Rutiliae Fes[tae(?)] / defunctae","Rutilia [-] did this while alive for herself and her father Ar[-] Tuscus, a [-] of the 7th legion, and her son A[-] Primionus, and Rutilia Fes{","Coopey, edit of Tončinić 2011",,,,,"7 to 42",,lost,Dalmatia,Tragurium,,Trogir,,,,43.517639,16.25063,https://pleiades.stoa.org/places/197555,https://www.trismegistos.org/place/29369,,,
91,"CIL 03, 14699","inscription fragment",yes,"] T(iti) f(ilius) Q[uir(ina?) ---] / [--- leg(ionis)] VII C(laudiae) P(iae) [F(idelis) ---] / [---] Respe[ctus] / [--- A]basca[ntus","] son of Titus, of the Quirina tribe [-] of the 7th legion Claudia pia fidelis [-]respe[-] [-]basca{","Coopey, edit of Tončinić 2011",,,,,"42 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 2570",Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"small fragment, therefore not sure if it should be considered an inscription or a stelae - went with funerary inscription for statistical reasons",,http://lupa.at/21493/photos/1
92,"CIL 03, 14992","funerary inscription",maybe,"Ant]onius / [---] Vienn[a ---] / [--- l]eg(ionis) VII[---] / [---] sti[p(endiorum)","Antonius [-] from the city of Vienna [-] of the legion VII[I Augusta/VII Claudia pia fidelis] who served for [-] years {","Coopey, edit of Tončinić 2011 and Cesarik 2016",,,,,"7 to 59",,lost,Dalmatia,Burnum,,Kistanje,,,,44.018914,16.025622,https://pleiades.stoa.org/places/197184,https://www.trismegistos.org/place/29387,"Cesarik 2016 has argued convincingly that this stelae belongs to Legio VIII augusta, however, his evidence is not (and, to be fair, cannot be) conclusive, and it has been included as a potential monument of Legio VII. He reconstruction it as: Ant]onius / [---] Vienn[a ---] / [--- l]eg(ionis) VII[I Aug(ustae)] / [---] sti[p(endiorum)",,http://lupa.at/21523/photos/1
93,"CIL 03, 08763","funerary inscription",maybe,"] Sp(uri) f(ilius) Vale[---] / [---] Vet(uria) Place[ntia ---] / [--- le]g(ionis) VI[I","] Valens, son of Spurius [-] of the Veturia tribe, from the city of Placentia [-] of the 7th legion [-]","Coopey, edit of Tončinić 2011",,,,,"7 to 59","Section where the cpf title could be is broken off - so more precise date difficult",lost,Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,
94,"ILJug 3, 2028","inscription fragment",yes,"]e mul[---] / [---] Capit[o(?) ---] / [---] leg(ionis) VII [","]E MUL[-] Capitus [-] of the 7th legion [-]","Coopey, edit of Tončinić 2011",,,,,"7 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 3228",Dalmatia,Salona,"East Necropolis",Klis,,,"Tončinić 2011, 109: found ""during reconstruction of church at Klis"" - not specified in what state. Notes that it may have been moved from Eastern Necropolis",43.540222,16.496858,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"section where cpf title could be is broken off, hence the dating. Found in 1900-1902 during reconstructions of cemetery at Klis. Tončinić 2011 suggests origins in the Eastern Necropolis based off its the vicinity to the cemetery and the number of Legio VII stele found there. Considered here as a funerary inscription, but could be a regular inscription",,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00081.jpg
95,"CIL 03, 14248","inscription fragment",yes,"l]eg(ionis) VII [---] / [---]ia Leg[","[-] the 7th legion [-]IA LEG[-]",Coopey,,,,,"7 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 2111",Dalmatia,Salona,"North Necropolis",Solin,,"Matinčevo-Porta Suburbia I",,43.53869,16.476543,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"Tončinić 2011 notes MonumentID 8, 24, 62 were found nearby",,http://lupa.at/21495/photos/1
96,"CIL 03, 08767","inscription fragment",maybe,"]ru[---] / [---] mil[es] / [legionis?] VII [","]RU [-] a soldier of the 7th legion [","Coopey, edit of Tončinić 2011",,,,,"7 to 59",,lost,Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,
97,"ILJug 3, 3239","inscription fragment",maybe,"]S C Pala/[tina(?) --- leg(ionis)] VII / [","]S C, of the Paltina tribe [-] the 7th legion [","Coopey, edit of Tončinić 2011",,,,,"7 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 3239",Dalmatia,Tilurium,,Gardun,"built into modern structure",,"built into the house of Radić",43.612652,16.714676,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,"while it could belong to any other cohort or Legio with VII in their title, it is likley Legio VII, for it is at Tilurium. One should note that the number could also be a statement of age or service however",,
98,"CIL 03, 12909","funerary inscription",maybe,"]OL[---] / [ve]ter(anus) leg(ionis) / [VII Cl(audiae)] P(iae) E=f(idelis) v(ivus) f(ecit) / [sibi et] suis","] a veteran of the [7th/11th] legion Claudia pia fidelis, while alive, erected this for himself and his [","Coopey, edit of Tončinić 2011",,,,,"42 to 70",,lost,Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"the 'PE' is used to reconstruct claudia] Pia E=F(idelis). Could technically be Legio IX Claudia Pia Fidelis as well as VII",,
99,"Tončinić 086","funerary inscription",maybe,"]SF[---] / [--- leg(ionis) ---] C(laudiae) P(iae) [F(idelis) ---] / [---]XIIX[---] / [---]CFT[","]SF [of the 7th/11th legion] Claudia pia [fidelis -]XIIX[-]CFT [","Coopey, edit of Tončinić 2011",,,,,"42 to 59","Depends if you take it to have CPF or not","Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 3209",Dalmatia,Salona,"North Necropolis",Solin,"surrounds of the amphitheatre",,"East of the amphitheatre",43.538629,16.475334,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"could be Legio XI or VII, other Legio VII monuments were found nerby so Legio VII may be more likley",,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00086.jpg
100,"ILJug 2, 0733",stela,maybe,"[--- c]enturio le[g(ionis) VII]","] a centurion of the of the [7th?] legion",Coopey,,"panelled door",,,"7 to 59",,lost,Dalmatia,Tilurium,,Gardun,"built into modern structure",,"found in stone wall",43.612652,16.714676,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,"the photograph (which is all that is left) is from BD-VAHD 1962-1963","found at Gardun (Tilurium), and bearing the panelled door motif which is depicted upon a number of Legio VII stelae, mean it is likely that this belonged to a Legio VII member",
101,"CIL 03, 08687","sacral monument",yes,"m]iles leg(ionis) VI[I --] / [---] Veneri don[um] / [no]m(ine) cognation[is] / [Cl]odior(um) CVI[","] a soldier of the 7th()?) legion [-] to Venus as a gift [-] upon taking up the position of magistrate [-]ODIO CVI[","Coopey, edit of Tončinić 2011",,,,,"7 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 1365",Dalmatia,Salona,,Solin,,,,43.539561,16.483426,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,"the location and remnants of the title make it very likley that it originally referred to legio VII",http://lupa.at/21497/photos/1
